Date,Open,High,Low,Close
2018-01-02,12.91,12.32,12.95,12.14
2018-01-03,12.84,13.0,13.0,12.77
2018-01-04,12.94,12.88,13.2,12.84
2018-01-05,13.09,12.84,13.25,12.72
2018-01-08,13.27,13.07,13.4,12.91
2018-01-09,13.27,13.3,13.57,13.15
2018-01-10,13.16,13.22,13.52,13.03
2018-01-11,13.25,13.14,13.32,13.0
2018-01-12,12.9,13.29,13.45,12.83
2018-01-15,12.76,12.81,13.01,12.61
2018-01-16,12.86,12.78,12.92,12.65
2018-01-17,12.23,12.8,12.8,12.01
2018-01-18,12.26,12.21,12.39,12.17
2018-01-19,12.35,12.28,12.42,12.2
2018-01-22,12.4,12.35,12.43,12.12
2018-01-23,12.41,12.45,12.54,12.36
2018-01-24,12.48,12.42,12.58,12.3
2018-01-25,12.59,12.57,12.77,12.49
2018-01-26,12.37,12.58,12.6,12.29
2018-01-29,12.75,12.4,12.83,12.3
2018-01-30,12.68,12.63,12.88,12.52
2018-01-31,12.54,12.59,12.64,12.39
2018-02-01,11.3,12.5,12.58,11.3
2018-02-02,11.3,11.26,11.48,10.86
2018-02-05,11.55,11.18,11.61,11.05
2018-02-06,10.98,11.31,11.54,10.97
2018-02-07,10.88,11.19,11.3,10.54
2018-02-08,10.89,10.86,11.04,10.8
2018-02-09,10.53,10.7,10.88,10.11
2018-02-12,10.56,10.68,10.68,10.45
2018-02-13,10.65,10.66,10.77,10.57
2018-02-14,10.67,10.64,10.75,10.61
2018-02-22,10.84,10.77,10.91,10.7
2018-02-23,10.91,10.87,10.96,10.72
2018-02-26,11.19,10.95,11.22,10.92
2018-02-27,11.17,11.2,11.36,11.09
2018-02-28,11.32,11.16,11.42,11.03
2018-03-01,11.47,11.24,11.52,11.18
2018-03-02,11.9,11.52,12.03,11.42
2018-03-05,11.97,11.83,12.03,11.72
2018-03-06,11.98,11.97,12.1,11.77
2018-03-07,11.92,11.93,12.14,11.88
2018-03-08,11.9,11.83,11.99,11.82
2018-03-09,11.83,11.9,11.92,11.71
2018-03-12,12.18,11.82,12.22,11.82
2018-03-13,12.39,12.25,12.43,12.09
2018-03-14,12.24,12.39,12.57,12.17
2018-03-15,12.17,12.22,12.29,11.95
2018-03-16,12.04,12.22,12.22,11.99
2018-03-19,12.0,12.0,12.07,11.76
2018-03-20,11.95,11.96,12.0,11.86
2018-03-21,12.06,11.99,12.1,11.86
2018-03-22,11.72,12.11,12.18,11.71
2018-03-23,11.14,11.2,11.44,10.88
2018-03-26,11.27,11.14,11.27,10.78
2018-03-27,11.45,11.6,11.66,11.33
2018-03-28,11.29,11.2,11.38,11.2
2018-03-29,11.35,11.29,11.42,11.18
2018-03-30,11.51,11.4,11.75,11.29
2018-04-02,11.31,11.51,11.51,11.27
2018-04-03,11.17,11.13,11.24,11.08
2018-04-04,11.19,11.23,11.32,11.12
2018-04-09,11.2,11.5,11.55,10.87
2018-04-10,11.09,11.14,11.16,10.96
2018-04-11,11.01,11.15,11.22,10.97
2018-04-12,10.96,11.07,11.17,10.96
2018-04-13,10.91,10.98,11.05,10.89
2018-04-16,10.88,10.8,10.95,10.71
2018-04-17,9.97,10.89,10.89,9.9
2018-05-02,10.97,10.97,10.97,10.5
2018-05-03,11.35,11.07,11.39,10.93
2018-05-04,11.36,11.33,11.6,11.18
2018-05-07,11.46,11.43,11.67,11.29
2018-05-08,11.51,11.5,11.57,11.41
2018-05-09,11.92,11.51,12.02,11.46
2018-05-10,11.99,11.96,12.08,11.85
2018-05-11,12.01,11.98,12.06,11.82
2018-05-14,11.89,11.96,12.11,11.85
2018-05-15,11.96,11.91,12.12,11.89
2018-05-16,12.04,11.95,12.15,11.92
2018-05-17,12.1,11.98,12.28,11.98
2018-05-18,12.47,12.18,12.5,12.1
2018-05-21,12.48,12.85,12.9,12.25
2018-05-22,12.5,12.45,12.79,12.4
2018-05-23,12.15,12.5,12.55,12.02
2018-05-24,12.1,12.32,12.35,12.07
2018-05-25,11.94,12.1,12.17,11.92
2018-05-28,11.85,11.83,12.14,11.78
2018-05-29,11.78,11.81,11.97,11.7
2018-05-30,11.26,11.63,11.65,11.15
2018-05-31,11.35,11.36,11.4,11.23
2018-06-01,11.32,11.29,11.55,11.18
2018-06-04,11.11,11.41,11.44,11.06
2018-06-05,11.35,11.12,11.38,11.12
2018-06-06,11.44,11.34,11.47,11.27
2018-06-07,11.42,11.39,11.49,11.27
2018-06-08,11.06,11.45,11.45,10.98
2018-06-11,11.13,11.07,11.18,10.99
2018-06-12,11.1,11.13,11.18,11.0
2018-06-13,11.08,11.19,11.23,11.06
2018-06-14,11.05,11.01,11.14,10.93
2018-06-15,10.99,11.05,11.11,10.82
2018-06-19,10.1,10.7,10.73,9.89
2018-06-20,10.03,10.1,10.11,9.86
2018-06-21,9.79,9.98,10.08,9.35
2018-06-22,9.68,9.6,9.79,9.45
2018-06-25,9.3,9.83,9.93,9.12
2018-06-26,9.5,9.12,9.59,9.12
2018-06-27,9.5,9.55,9.7,9.49
2018-06-28,9.41,9.55,9.66,9.4
2018-06-29,9.77,9.53,9.79,9.48
2018-07-02,9.53,9.84,9.84,9.48
2018-07-03,9.63,9.61,9.66,9.38
2018-07-04,9.43,9.56,9.61,9.36
2018-07-05,9.28,9.43,9.48,9.2
2018-07-06,9.29,9.3,9.41,9.17
2018-07-09,9.47,9.33,9.49,9.25
2018-07-10,9.41,9.53,9.55,9.33
2018-07-11,9.13,9.29,9.29,8.96
2018-07-12,9.39,9.05,9.44,9.05
2018-07-13,9.39,9.44,9.46,9.28
2018-07-16,9.6,9.36,9.65,9.36
2018-07-17,9.49,9.61,9.61,9.42
2018-07-18,9.46,9.46,9.58,9.39
2018-07-19,9.24,9.42,9.43,9.16
2018-07-20,9.4,9.15,9.44,9.15
2018-07-23,9.53,9.41,9.59,9.37
2018-07-24,9.78,9.52,9.85,9.52
2018-07-25,9.77,9.85,9.87,9.7
2018-07-26,9.66,9.79,9.86,9.63
2018-07-27,9.5,9.61,9.72,9.48
2018-07-30,9.47,9.5,9.63,9.38
2018-07-31,9.71,9.46,9.72,9.46
2018-08-01,9.31,9.64,9.7,9.27
2018-08-02,9.04,9.25,9.37,8.92
2018-08-03,9.04,9.04,9.14,8.95
2018-08-06,8.96,9.04,9.08,8.85
2018-08-07,9.2,9.19,9.2,8.9
2018-08-08,9.25,9.13,9.44,9.08
2018-08-09,9.39,9.15,9.41,8.9
2018-08-10,9.38,9.32,9.5,9.27
2018-08-13,9.58,9.29,9.58,9.22
2018-08-14,9.45,9.61,9.65,9.4
2018-08-15,9.22,9.41,9.45,9.2
2018-08-16,9.1,9.07,9.26,9.03
2018-08-17,9.01,9.2,9.27,8.93
2018-08-20,9.1,9.07,9.14,8.94
2018-08-21,9.1,9.1,9.13,9.0
2018-08-22,8.58,9.06,9.06,8.19
2018-08-23,9.04,9.19,9.19,8.83
2018-08-24,8.82,8.88,8.98,8.78
