Date,Open,High,Low,Close
2018-01-02,6.37,6.16,6.47,6.16
2018-01-03,6.47,6.36,6.52,6.34
2018-01-04,6.9,6.56,7.08,6.56
2018-01-05,7.06,6.9,7.18,6.85
2018-01-08,7.05,7.02,7.14,6.98
2018-01-09,7.0,7.07,7.11,6.93
2018-01-10,7.15,7.17,7.35,7.1
2018-01-11,7.08,7.15,7.18,7.01
2018-01-12,7.15,7.1,7.23,6.99
2018-01-15,7.29,7.2,7.44,7.1
2018-01-16,7.11,7.28,7.38,7.09
2018-01-17,7.03,7.05,7.25,6.96
2018-01-18,7.0,7.05,7.05,6.89
2018-01-19,7.04,6.99,7.11,6.94
2018-01-22,6.91,7.06,7.12,6.87
2018-01-23,7.04,6.98,7.05,6.88
2018-01-24,7.32,7.12,7.33,7.02
2018-01-25,7.25,7.42,7.51,7.22
2018-01-26,7.38,7.18,7.39,7.14
2018-01-29,7.44,7.39,7.62,7.36
2018-01-30,7.21,7.33,7.42,7.18
2018-01-31,7.08,7.13,7.15,7.02
2018-02-01,7.16,7.1,7.17,6.97
2018-02-02,7.54,7.19,7.56,7.07
2018-02-05,7.63,7.36,7.67,7.34
2018-02-06,7.41,7.41,7.53,7.22
2018-02-07,7.15,7.46,7.72,7.04
2018-02-08,6.72,6.92,6.93,6.58
2018-02-09,6.38,6.44,6.49,6.11
2018-02-12,6.3,6.28,6.39,6.21
2018-02-13,6.34,6.35,6.46,6.31
2018-02-14,6.31,6.35,6.37,6.24
2018-02-22,6.48,6.43,6.51,6.37
2018-02-23,6.58,6.56,6.65,6.5
2018-02-26,6.63,6.65,6.75,6.58
2018-02-27,6.56,6.65,6.66,6.5
2018-02-28,6.41,6.45,6.46,6.32
2018-03-01,6.39,6.32,6.4,6.27
2018-03-02,6.33,6.31,6.39,6.29
2018-03-05,6.39,6.33,6.42,6.3
2018-03-06,6.47,6.45,6.49,6.38
2018-03-07,6.44,6.44,6.5,6.4
2018-03-08,6.45,6.41,6.47,6.35
2018-03-09,6.39,6.43,6.45,6.37
2018-03-12,6.45,6.46,6.51,6.42
2018-03-13,6.37,6.41,6.44,6.35
2018-03-14,6.42,6.35,6.45,6.28
2018-03-15,6.42,6.39,6.45,6.37
2018-03-16,6.42,6.39,6.49,6.36
2018-03-19,6.59,6.42,6.62,6.42
2018-03-20,6.83,6.56,6.86,6.55
2018-03-21,6.85,6.89,6.99,6.76
2018-03-22,6.84,6.92,6.97,6.78
2018-03-23,6.83,6.61,6.87,6.55
2018-03-26,6.64,6.8,6.8,6.48
2018-03-27,6.64,6.75,6.79,6.59
2018-03-28,6.43,6.54,6.59,6.34
2018-03-29,6.62,6.43,6.67,6.38
2018-03-30,6.48,6.6,6.61,6.44
2018-04-02,6.43,6.48,6.55,6.41
2018-04-03,6.38,6.36,6.42,6.26
2018-04-04,6.43,6.43,6.52,6.4
2018-04-09,6.59,6.5,6.65,6.47
2018-04-10,6.77,6.67,6.78,6.57
2018-04-11,6.89,6.91,7.04,6.86
2018-04-12,6.94,6.94,6.99,6.84
2018-04-13,6.83,6.9,6.93,6.82
2018-04-16,6.71,6.85,6.87,6.62
2018-04-17,6.62,6.67,6.71,6.58
2018-04-18,6.85,6.69,6.86,6.66
2018-04-19,6.9,6.96,7.0,6.84
2018-04-20,6.83,6.85,6.89,6.76
2018-04-23,6.83,6.78,6.85,6.69
2018-04-24,6.94,6.81,7.03,6.81
2018-04-25,6.75,6.88,6.89,6.73
2018-04-26,6.75,6.76,6.78,6.68
2018-04-27,6.91,6.79,6.95,6.73
2018-05-02,6.87,6.89,6.92,6.81
2018-05-03,7.0,6.86,7.04,6.82
2018-05-04,7.01,7.02,7.03,6.91
2018-05-07,7.18,7.04,7.19,6.98
2018-05-08,7.07,7.17,7.23,7.04
2018-05-09,7.19,7.13,7.27,7.12
2018-05-10,7.27,7.27,7.32,7.2
2018-05-11,7.25,7.29,7.29,7.19
2018-05-14,7.14,7.23,7.23,7.09
2018-05-15,7.16,7.17,7.17,7.08
2018-05-16,7.1,7.11,7.11,7.04
2018-05-17,7.11,7.12,7.17,7.08
2018-05-18,7.43,7.11,7.45,7.08
2018-05-21,7.27,7.36,7.45,7.21
2018-05-22,7.27,7.27,7.32,7.22
2018-05-23,7.01,7.24,7.25,6.99
2018-05-24,7.0,6.99,7.1,6.95
2018-05-25,6.96,6.96,6.99,6.84
2018-05-28,6.92,6.83,6.93,6.74
2018-05-29,6.95,6.94,6.99,6.91
2018-05-30,6.83,6.84,6.94,6.81
2018-05-31,7.05,6.89,7.07,6.88
2018-06-01,7.0,7.0,7.06,6.94
2018-06-04,7.05,6.98,7.1,6.96
2018-06-05,6.58,6.65,6.66,6.51
2018-06-06,6.52,6.55,6.56,6.46
2018-06-07,6.52,6.51,6.54,6.46
2018-06-08,6.5,6.53,6.58,6.47
2018-06-11,6.34,6.45,6.46,6.31
2018-06-12,6.43,6.33,6.44,6.33
2018-06-13,6.49,6.39,6.55,6.38
2018-06-14,6.46,6.47,6.55,6.41
2018-06-15,6.49,6.45,6.52,6.43
2018-06-19,6.45,6.43,6.55,6.31
2018-06-20,6.4,6.43,6.44,6.35
2018-06-21,6.41,6.41,6.48,6.38
2018-06-22,6.27,6.4,6.4,6.21
2018-06-25,6.22,6.33,6.37,6.21
2018-06-26,6.1,6.19,6.21,6.05
2018-06-27,6.29,6.15,6.35,6.15
2018-06-28,6.45,6.33,6.52,6.33
2018-06-29,6.49,6.48,6.52,6.36
2018-07-02,6.31,6.45,6.5,6.25
2018-07-03,6.27,6.32,6.33,6.16
2018-07-04,6.23,6.21,6.27,6.2
2018-07-05,6.31,6.21,6.32,6.04
2018-07-06,6.27,6.2,6.3,6.16
2018-07-09,6.41,6.28,6.42,6.27
2018-07-10,6.51,6.44,6.54,6.37
2018-07-11,6.38,6.4,6.42,6.32
2018-07-12,6.35,6.29,6.38,6.25
2018-07-13,6.34,6.33,6.37,6.3
2018-07-16,6.33,6.34,6.37,6.25
2018-07-17,6.2,6.27,6.27,6.16
2018-07-18,6.21,6.22,6.26,6.17
2018-07-19,6.25,6.23,6.3,6.22
2018-07-20,6.39,6.26,6.41,6.26
2018-07-23,6.43,6.38,6.45,6.34
2018-07-24,6.52,6.42,6.6,6.4
2018-07-25,6.54,6.64,6.67,6.52
2018-07-26,6.56,6.57,6.63,6.5
2018-07-27,6.62,6.56,6.62,6.52
2018-07-30,6.6,6.59,6.65,6.55
2018-07-31,6.76,6.62,6.83,6.6
2018-08-01,6.65,6.7,6.77,6.65
2018-08-02,6.52,6.64,6.64,6.44
2018-08-03,6.58,6.54,6.67,6.52
2018-08-06,6.51,6.55,6.7,6.47
2018-08-07,6.79,6.56,6.8,6.56
2018-08-08,6.73,6.74,6.84,6.7
2018-08-09,6.71,6.62,6.74,6.56
2018-08-10,6.63,6.66,6.71,6.58
2018-08-13,6.6,6.61,6.64,6.52
2018-08-14,6.63,6.59,6.65,6.56
2018-08-15,6.49,6.59,6.59,6.47
2018-08-16,6.39,6.38,6.5,6.33
2018-08-17,6.33,6.45,6.46,6.31
2018-08-20,6.46,6.33,6.47,6.32
2018-08-21,6.48,6.48,6.53,6.45
2018-08-22,6.53,6.51,6.61,6.49
2018-08-23,6.57,6.56,6.63,6.51
2018-08-24,6.63,6.56,6.65,6.54
2018-08-27,6.82,6.69,6.83,6.68
2018-08-28,6.85,6.8,6.98,6.79
2018-08-29,6.86,6.85,6.97,6.83
2018-08-30,6.8,6.92,6.96,6.8
2018-08-31,6.84,6.82,6.92,6.71
2018-09-03,6.81,6.8,6.89,6.75
2018-09-04,6.89,6.83,6.94,6.72
2018-09-05,6.7,6.86,6.89,6.68
2018-09-06,6.7,6.69,6.73,6.66
