Date,Open,High,Low,Close
2018-01-02,13.29,13.13,13.3,13.13
2018-01-03,13.39,13.23,13.42,13.15
2018-01-04,13.99,13.36,14.68,13.27
2018-01-05,13.8,14.0,14.0,13.59
2018-01-08,13.56,13.66,13.84,13.35
2018-01-09,13.53,13.52,13.68,13.35
2018-01-10,13.89,13.54,14.09,13.54
2018-01-11,13.59,13.63,13.86,13.4
2018-01-12,13.5,13.49,13.69,13.41
2018-01-15,13.37,13.5,13.5,13.1
2018-01-16,13.4,13.24,13.49,13.11
2018-01-17,13.39,13.4,13.5,13.2
2018-01-18,13.42,13.4,13.44,13.26
2018-01-19,13.4,13.34,13.44,13.3
2018-01-22,13.35,13.42,13.45,13.31
2018-01-23,13.39,13.25,13.42,13.25
2018-01-24,13.29,13.26,13.36,13.1
2018-01-25,13.42,13.34,13.45,13.26
2018-01-26,13.42,13.4,13.44,13.3
2018-01-29,13.37,13.4,13.45,13.3
2018-01-30,13.6,13.32,13.7,13.13
2018-01-31,13.68,13.51,13.82,13.51
2018-02-01,13.66,13.45,13.71,13.31
2018-02-02,13.79,13.66,13.79,13.3
2018-02-05,13.9,13.82,13.92,13.5
2018-02-06,13.62,13.69,13.82,13.41
2018-02-07,13.82,13.6,13.93,13.54
2018-02-08,14.0,13.82,14.16,13.71
2018-02-09,13.97,13.92,13.97,12.98
2018-02-12,13.94,13.95,14.04,13.75
2018-02-13,13.79,13.94,13.95,13.69
2018-02-14,13.69,13.66,13.78,13.43
2018-02-22,13.59,13.58,13.7,13.45
2018-02-23,13.63,13.5,13.67,13.5
2018-02-26,13.64,13.62,13.75,13.46
2018-02-27,13.6,13.62,13.7,13.49
2018-02-28,13.51,13.6,13.6,13.39
2018-03-01,13.49,13.44,13.5,13.25
2018-03-02,13.5,13.48,13.52,13.31
2018-03-05,13.55,13.47,13.57,13.4
2018-03-06,13.48,13.53,13.61,13.38
2018-03-07,13.4,13.46,13.53,13.32
2018-03-08,13.44,13.39,13.45,13.23
2018-03-09,13.37,13.33,13.42,13.3
2018-03-12,13.4,13.37,13.6,13.35
2018-03-13,13.27,13.42,13.42,13.23
2018-03-14,13.21,13.23,13.26,13.15
2018-03-15,13.41,13.18,13.44,13.18
2018-03-16,13.39,13.45,13.52,13.35
2018-03-19,13.28,13.35,13.43,13.28
2018-03-20,13.27,13.24,13.34,13.08
2018-03-21,13.16,13.24,13.38,13.13
2018-03-22,12.99,13.23,13.3,12.98
2018-03-23,12.75,12.8,12.96,12.0
2018-03-26,12.58,11.85,12.64,11.85
2018-03-27,12.58,12.48,12.74,12.48
2018-03-28,12.31,12.48,12.57,12.3
2018-03-29,12.22,12.3,12.4,12.18
2018-03-30,12.23,12.26,12.35,12.2
2018-04-02,12.35,12.26,12.39,12.16
2018-04-03,12.15,12.33,12.33,12.05
2018-04-04,12.07,12.14,12.33,12.0
2018-04-09,12.24,12.05,12.3,12.0
2018-04-10,12.17,12.31,12.31,12.08
2018-04-11,12.26,12.27,12.36,12.17
2018-04-12,12.17,12.27,12.32,12.12
2018-04-13,12.04,12.04,12.2,12.03
2018-04-16,11.97,12.04,12.12,11.86
2018-04-17,11.71,11.96,12.03,11.7
2018-04-18,11.38,11.75,11.98,11.3
2018-04-19,11.46,11.38,11.46,11.3
2018-04-20,11.21,11.52,11.52,11.16
2018-04-23,10.73,11.21,11.45,10.41
2018-04-24,11.12,10.69,11.16,10.66
2018-04-25,10.89,11.12,11.12,10.88
2018-04-26,10.88,10.91,10.96,10.62
2018-04-27,10.83,10.91,10.93,10.66
2018-05-02,10.76,10.82,10.82,10.66
2018-05-03,10.77,10.71,10.86,10.56
2018-05-04,10.77,10.85,10.87,10.69
2018-05-07,10.95,10.77,10.97,10.75
2018-05-08,11.44,10.95,11.95,10.91
2018-05-09,11.79,11.45,11.96,11.45
2018-05-10,12.35,11.79,12.74,11.79
2018-05-11,11.92,12.43,12.5,11.8
2018-05-14,11.51,11.92,11.92,11.47
2018-05-15,11.6,11.54,11.69,11.42
2018-05-16,11.35,11.5,11.66,11.32
2018-05-17,11.71,11.44,11.84,11.36
2018-05-18,12.0,11.76,12.38,11.6
2018-05-21,11.76,12.02,12.02,11.51
2018-05-22,11.78,11.65,12.14,11.61
2018-05-23,11.31,11.6,11.67,11.25
2018-05-24,11.1,11.33,11.36,11.02
2018-05-25,10.85,11.17,11.19,10.8
2018-05-28,10.78,10.72,10.99,10.58
2018-05-29,10.78,10.77,10.94,10.61
2018-05-30,10.76,10.65,10.76,10.19
2018-05-31,10.9,10.72,10.98,10.54
2018-06-01,10.76,10.85,10.98,10.6
2018-06-04,10.78,10.61,10.78,10.33
2018-06-05,10.76,10.7,10.78,10.6
2018-06-06,10.77,10.76,10.84,10.52
