Date,Open,High,Low,Close
2018-01-02,8.26,8.12,8.43,8.09
2018-01-03,8.27,8.21,8.37,8.17
2018-01-04,8.82,8.35,8.86,8.3
2018-01-05,8.6,8.7,8.74,8.55
2018-01-08,8.6,8.56,8.66,8.46
2018-01-09,8.49,8.61,8.79,8.43
2018-01-10,8.58,8.63,8.79,8.44
2018-01-11,8.43,8.49,8.49,8.31
2018-01-12,8.39,8.45,8.5,8.33
2018-01-15,8.49,8.3,8.66,8.21
2018-01-16,8.34,8.42,8.49,8.26
2018-01-17,8.06,8.26,8.3,7.9
2018-01-18,8.05,8.07,8.12,8.02
2018-01-19,8.09,8.05,8.18,7.96
2018-01-22,8.03,8.01,8.08,7.97
2018-01-23,8.09,8.06,8.18,8.04
2018-01-24,8.12,8.09,8.16,8.0
2018-01-25,8.18,8.21,8.39,8.16
2018-01-26,8.05,8.12,8.12,8.0
2018-01-29,8.02,8.1,8.15,8.0
2018-01-30,7.85,7.98,7.98,7.81
2018-01-31,7.7,7.8,7.8,7.67
2018-02-01,7.5,7.72,7.81,7.48
2018-02-02,7.32,7.53,7.57,7.05
2018-02-05,7.13,7.01,7.29,7.01
2018-02-06,6.45,7.06,7.07,6.45
2018-02-07,6.46,6.58,6.65,6.22
2018-02-08,6.53,6.45,6.57,6.3
2018-02-09,6.24,6.36,6.41,6.19
2018-02-12,6.43,6.3,6.49,6.3
2018-02-13,6.45,6.47,6.56,6.42
2018-02-14,6.41,6.5,6.51,6.4
2018-02-22,6.57,6.56,6.59,6.48
2018-02-23,6.64,6.58,6.67,6.52
2018-02-26,6.74,6.66,6.8,6.64
2018-02-27,6.8,6.82,6.82,6.71
2018-02-28,6.7,6.76,6.76,6.63
2018-03-01,6.79,6.65,6.94,6.65
2018-03-02,6.75,6.71,6.83,6.7
2018-03-05,6.73,6.77,6.79,6.69
2018-03-06,6.84,6.75,6.85,6.73
2018-03-07,6.88,6.84,7.02,6.8
2018-03-08,6.89,6.88,6.98,6.81
2018-03-09,6.97,6.9,7.0,6.84
2018-03-12,7.18,7.01,7.26,6.97
2018-03-13,7.13,7.15,7.22,7.12
2018-03-14,7.16,7.12,7.44,6.93
2018-03-15,7.43,7.11,7.54,7.0
2018-03-16,7.26,7.37,7.45,7.2
2018-03-19,7.36,7.25,7.4,7.2
2018-03-20,7.57,7.26,7.88,7.21
2018-03-21,8.04,7.69,8.33,7.64
2018-03-22,7.91,8.08,8.21,7.65
2018-03-23,7.24,7.39,7.57,7.12
