Date,Open,High,Low,Close
2018-01-02,6.06,5.97,6.1,5.94
2018-01-03,6.05,6.05,6.09,6.03
2018-01-04,6.25,6.07,6.28,6.06
2018-01-05,6.17,6.18,6.22,6.13
2018-01-08,6.14,6.15,6.21,6.13
2018-01-09,6.09,6.17,6.18,6.05
2018-01-10,6.01,6.09,6.18,5.96
2018-01-11,5.95,5.98,6.02,5.89
2018-01-12,5.94,5.94,5.98,5.92
2018-01-15,6.13,5.92,6.16,5.85
2018-01-16,6.15,6.15,6.18,6.05
2018-01-17,6.07,6.1,6.14,5.98
2018-01-18,6.04,6.05,6.08,6.01
2018-01-19,5.97,6.02,6.07,5.95
2018-01-22,5.87,5.96,5.99,5.78
2018-01-23,5.9,5.87,5.91,5.85
2018-01-24,5.88,5.9,5.9,5.83
2018-01-25,5.91,5.9,5.96,5.89
2018-01-26,5.86,5.89,5.91,5.86
2018-01-29,5.8,5.85,5.89,5.76
2018-01-30,5.83,5.87,5.88,5.8
2018-01-31,5.67,5.81,5.85,5.64
2018-02-01,5.3,5.68,5.7,5.1
2018-02-02,5.35,5.28,5.36,5.13
2018-02-05,5.35,5.32,5.4,5.24
2018-02-06,5.13,5.28,5.3,5.12
2018-02-07,5.16,5.2,5.24,5.1
2018-02-08,5.22,5.16,5.24,5.15
2018-02-09,5.0,5.15,5.15,4.93
2018-02-12,5.11,5.02,5.14,5.02
2018-02-13,5.11,5.12,5.18,5.1
2018-02-14,5.15,5.11,5.17,5.09
2018-02-22,5.21,5.19,5.26,5.17
2018-02-23,5.25,5.21,5.25,5.18
2018-02-26,5.34,5.25,5.35,5.24
2018-02-27,5.3,5.34,5.34,5.27
2018-02-28,5.3,5.27,5.32,5.2
2018-03-01,5.35,5.28,5.37,5.25
2018-03-02,5.33,5.3,5.36,5.28
2018-03-05,5.36,5.31,5.37,5.3
2018-03-06,5.4,5.38,5.41,5.32
2018-03-07,5.33,5.37,5.41,5.32
2018-03-08,5.39,5.35,5.4,5.33
2018-03-09,5.45,5.42,5.49,5.38
2018-03-12,5.54,5.46,5.57,5.43
2018-03-13,5.49,5.53,5.53,5.46
2018-03-14,5.39,5.47,5.5,5.37
2018-03-15,5.35,5.3,5.4,5.3
2018-03-16,5.58,5.33,5.68,5.33
